"Date","Time","Open","High","Low","Close","Up","Down","CV","ZeroLine","Zero Cross","UpperBand","LowerBand","MidLine","VolROC","ZeroLine"
02/22/2021,16:32,129.50,129.55,129.03,129.27,284220,271592,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:33,129.26,129.27,128.77,128.81,195413,184634,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:34,128.81,128.90,128.23,128.34,242976,286821,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:35,128.34,128.35,128.02,128.10,281030,233405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:36,128.08,128.43,127.95,127.97,297932,305686,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:37,127.95,128.38,127.82,128.36,266638,213997,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:38,128.36,128.53,128.15,128.42,168384,185255,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:39,128.41,128.77,128.40,128.66,144693,160264,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:40,128.68,128.73,128.43,128.49,108990,141348,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:41,128.51,128.51,128.22,128.25,155546,184291,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:42,128.26,128.45,128.06,128.06,137275,161103,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:43,128.05,128.25,128.00,128.23,127383,144669,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:44,128.23,128.50,128.15,128.47,112204,118884,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:45,128.48,128.65,128.41,128.57,128805,101565,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:46,128.58,128.75,128.44,128.47,174162,139010,0.00,0.00,0.00,0.00,0.00,0.00,-43.66,0.00
02/22/2021,16:47,128.47,128.59,128.40,128.55,103828,141329,0.00,0.00,0.00,0.00,0.00,0.00,-35.49,0.00
02/22/2021,16:48,128.56,128.82,128.55,128.71,159316,150643,0.00,0.00,0.00,0.00,0.00,0.00,-41.49,0.00
02/22/2021,16:49,128.71,128.95,128.71,128.95,126061,111149,0.00,0.00,0.00,0.00,0.00,0.00,-53.89,0.00
02/22/2021,16:50,128.95,128.98,128.87,128.93,124577,133293,0.00,0.00,0.00,0.00,0.00,0.00,-57.28,0.00
02/22/2021,16:51,128.94,128.98,128.81,128.86,117088,103849,0.00,0.00,0.00,129.17,127.88,128.52,-54.03,0.00
02/22/2021,16:52,128.88,128.96,128.83,128.92,112868,99570,-43.29,0.00,0.00,129.09,127.92,128.51,-39.93,0.00
02/22/2021,16:53,128.92,129.05,128.86,128.86,157195,125197,-40.88,0.00,0.00,129.10,127.92,128.51,-7.40,0.00
02/22/2021,16:54,128.86,128.89,128.71,128.73,108201,150836,-42.24,0.00,0.00,129.12,127.94,128.53,3.47,0.00
02/22/2021,16:55,128.72,128.74,128.57,128.70,117613,141236,-40.56,0.00,0.00,129.12,128.00,128.56,-23.83,0.00
02/22/2021,16:56,128.70,128.85,128.58,128.58,133616,120799,-35.89,0.00,0.00,129.08,128.10,128.59,-14.73,0.00
02/22/2021,16:57,128.58,128.77,128.57,128.72,91185,60973,-31.28,0.00,0.00,129.09,128.13,128.61,-44.07,0.00
02/22/2021,16:58,128.72,128.81,128.46,128.55,94761,118504,-21.35,0.00,0.00,129.09,128.14,128.61,-7.71,0.00
02/22/2021,16:59,128.55,128.67,128.55,128.59,58306,73181,-25.66,0.00,0.00,129.08,128.14,128.61,-42.92,0.00
02/22/2021,17:00,128.59,128.60,128.42,128.49,98370,109632,-18.72,0.00,0.00,129.08,128.14,128.61,-33.58,0.00
02/22/2021,17:01,128.48,128.73,128.42,128.71,143085,97015,-5.78,0.00,0.00,129.08,128.19,128.63,-2.06,0.00
02/22/2021,17:02,128.71,128.85,128.59,128.62,102721,118955,5.52,0.00,0.00,129.02,128.30,128.66,-28.48,0.00
02/22/2021,17:03,128.61,128.68,128.52,128.65,54418,81920,2.11,0.00,0.00,128.98,128.38,128.68,-42.52,0.00
02/22/2021,17:04,128.65,128.74,128.49,128.51,80423,94478,7.87,0.00,0.00,128.98,128.39,128.68,-32.17,0.00
02/22/2021,17:05,128.50,128.59,128.39,128.54,112116,104881,9.36,0.00,0.00,128.98,128.38,128.68,-1.78,0.00
02/22/2021,17:06,128.55,128.56,128.26,128.41,102964,116655,9.76,0.00,0.00,128.99,128.37,128.68,3.38,0.00
02/22/2021,17:07,128.41,128.48,128.29,128.31,102840,93406,7.23,0.00,0.00,129.01,128.32,128.67,-30.51,0.00
02/22/2021,17:08,128.30,128.31,128.04,128.18,189077,216061,-0.86,0.00,0.00,129.04,128.24,128.64,56.40,0.00
