"Date","Time","Open","High","Low","Close","Up","Down","CV","ZeroLine","Zero Cross","UpperBand","LowerBand","MidLine","VolROC","ZeroLine"
02/22/2021,16:32,237.70,237.93,237.40,237.43,32543,51073,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:33,237.45,237.50,237.29,237.49,45515,38735,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:34,237.48,237.65,237.11,237.27,64923,68772,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:35,237.25,237.25,236.75,236.77,51069,68399,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:36,236.80,236.94,236.52,236.52,60276,55539,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:37,236.52,236.98,236.24,236.94,61833,69945,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:38,236.94,237.33,236.89,237.02,38763,61110,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:39,237.02,237.09,236.86,237.07,34878,25998,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:40,237.09,237.28,236.73,236.80,50165,76659,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:41,236.81,237.05,236.56,236.92,78112,73664,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:42,236.89,236.98,236.70,236.70,41023,56022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:43,236.70,237.00,236.61,236.96,35312,26321,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:44,236.98,237.50,236.98,237.36,42040,34652,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:45,237.37,237.53,237.31,237.42,22670,28177,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/22/2021,16:46,237.44,237.60,237.29,237.34,30791,26988,0.00,0.00,0.00,0.00,0.00,0.00,-30.90,0.00
02/22/2021,16:47,237.33,237.42,237.16,237.38,24642,38439,0.00,0.00,0.00,0.00,0.00,0.00,-25.13,0.00
02/22/2021,16:48,237.38,237.65,237.38,237.51,37907,36229,0.00,0.00,0.00,0.00,0.00,0.00,-44.55,0.00
02/22/2021,16:49,237.50,237.54,237.37,237.42,13019,13005,0.00,0.00,0.00,0.00,0.00,0.00,-78.22,0.00
02/22/2021,16:50,237.45,237.48,237.26,237.29,26991,32011,0.00,0.00,0.00,0.00,0.00,0.00,-49.05,0.00
02/22/2021,16:51,237.30,237.37,237.13,237.19,24326,23237,0.00,0.00,0.00,237.72,236.56,237.14,-63.91,0.00
02/22/2021,16:52,237.20,237.47,237.17,237.25,34766,26751,-4.18,0.00,0.00,237.69,236.57,237.13,-38.40,0.00
02/22/2021,16:53,237.25,237.49,237.21,237.27,24228,14578,-9.86,0.00,0.00,237.66,236.58,237.12,-36.25,0.00
02/22/2021,16:54,237.25,237.39,237.25,237.29,11105,9674,-27.44,0.00,0.00,237.66,236.58,237.12,-83.62,0.00
02/22/2021,16:55,237.29,237.32,237.15,237.28,20757,25012,-26.85,0.00,0.00,237.67,236.62,237.15,-69.84,0.00
02/22/2021,16:56,237.31,237.40,237.05,237.06,26788,37747,-19.77,0.00,0.00,237.61,236.73,237.17,-33.50,0.00
02/22/2021,16:57,237.05,237.10,236.94,237.00,23276,30709,-22.66,0.00,0.00,237.61,236.74,237.18,-12.41,0.00
02/22/2021,16:58,237.00,237.04,236.71,236.81,36048,44750,-15.31,0.00,0.00,237.62,236.71,237.17,5.35,0.00
02/22/2021,16:59,236.81,236.85,236.67,236.76,23726,27503,-12.94,0.00,0.00,237.64,236.66,237.15,0.75,0.00
02/22/2021,17:00,236.74,236.74,236.36,236.44,33871,45946,-0.05,0.00,0.00,237.69,236.57,237.13,38.14,0.00
02/22/2021,17:01,236.42,236.46,236.28,236.34,43700,43381,-4.22,0.00,0.00,237.76,236.45,237.10,38.05,0.00
02/22/2021,17:02,236.35,236.41,236.06,236.21,81119,87036,0.03,0.00,0.00,237.82,236.33,237.08,126.82,0.00
02/22/2021,17:03,236.21,236.55,236.04,236.48,61759,32871,15.49,0.00,0.00,237.84,236.27,237.05,263.63,0.00
02/22/2021,17:04,236.46,236.49,236.19,236.24,44051,37928,25.68,0.00,0.00,237.85,236.15,237.00,38.94,0.00
02/22/2021,17:05,236.23,236.26,236.01,236.22,49925,45596,28.52,0.00,0.00,237.83,236.05,236.94,100.83,0.00
02/22/2021,17:06,236.22,236.23,235.88,236.10,68175,93093,21.38,0.00,0.00,237.82,235.94,236.88,162.15,0.00
02/22/2021,17:07,236.09,236.32,236.02,236.21,31727,30111,29.49,0.00,0.00,237.77,235.86,236.82,59.35,0.00
02/22/2021,17:08,236.18,236.19,235.96,236.06,37214,55895,15.36,0.00,0.00,237.70,235.79,236.75,348.09,0.00
02/22/2021,17:09,236.06,236.08,235.83,236.03,50952,58639,18.56,0.00,0.00,237.63,235.73,236.68,139.44,0.00
02/22/2021,17:10,236.03,236.19,235.83,235.90,44142,36537,12.37,0.00,0.00,237.57,235.64,236.61,25.02,0.00
02/22/2021,17:11,235.90,235.97,235.47,235.50,65606,91434,34.01,0.00,0.00,237.56,235.48,236.52,190.90,0.00
02/22/2021,17:12,235.49,235.63,235.34,235.43,73347,55238,21.88,0.00,0.00,237.52,235.35,236.43,59.14,0.00
02/22/2021,17:13,235.44,235.69,235.40,235.69,54795,24367,2.57,0.00,0.00,237.41,235.29,236.35,54.53,0.00
02/22/2021,17:14,235.66,235.73,235.47,235.56,81471,40885,-0.23,0.00,0.00,237.29,235.25,236.27,53.30,0.00
02/22/2021,17:15,235.56,235.60,235.03,235.17,92945,99913,19.26,0.00,0.00,237.18,235.15,236.16,121.47,0.00
02/22/2021,17:16,235.16,235.25,234.79,234.98,98054,150164,21.77,0.00,0.00,237.11,235.01,236.06,47.61,0.00
02/22/2021,17:17,234.93,235.05,234.85,234.98,54406,41500,11.98,0.00,0.00,237.01,234.90,235.96,1.35,0.00
02/22/2021,17:18,234.99,235.22,234.86,235.13,35170,40255,18.34,0.00,0.00,236.91,234.83,235.87,-7.99,0.00
02/22/2021,17:19,235.13,235.13,234.83,234.86,41808,67002,18.60,0.00,0.00,236.82,234.73,235.78,13.91,0.00
02/22/2021,17:20,234.86,235.08,234.80,234.94,64934,36215,9.66,0.00,0.00,236.76,234.64,235.70,-37.28,0.00
02/22/2021,17:21,234.95,235.15,234.83,234.93,55639,49743,-2.72,0.00,0.00,236.70,234.56,235.63,70.42,0.00
02/22/2021,17:22,234.92,235.00,234.54,234.56,46501,93309,7.17,0.00,0.00,236.68,234.42,235.55,50.16,0.00
02/22/2021,17:23,234.56,234.57,234.47,234.57,57827,64382,-4.80,0.00,0.00,236.57,234.33,235.45,11.51,0.00
02/22/2021,17:24,234.57,234.63,234.28,234.42,63279,83458,1.23,0.00,0.00,236.51,234.22,235.36,81.88,0.00
02/22/2021,17:25,234.41,234.55,234.34,234.43,58318,45649,-17.48,0.00,0.00,236.41,234.13,235.27,-33.80,0.00
02/22/2021,17:26,234.43,234.67,234.37,234.43,54537,71695,-21.33,0.00,0.00,236.32,234.06,235.19,-1.83,0.00
02/22/2021,17:27,234.43,234.43,234.06,234.12,76035,99630,-10.08,0.00,0.00,236.21,233.96,235.08,121.91,0.00
02/22/2021,17:28,234.08,234.13,233.81,233.92,101514,104992,-10.27,0.00,0.00,236.11,233.84,234.98,68.77,0.00
02/22/2021,17:29,233.90,234.23,233.88,234.16,68767,53981,-5.93,0.00,0.00,235.97,233.80,234.88,-36.35,0.00
02/22/2021,17:30,234.17,234.41,234.12,234.39,36121,26690,-4.45,0.00,0.00,235.80,233.81,234.81,-74.70,0.00
02/22/2021,17:31,234.38,234.46,234.17,234.30,39915,37557,-5.33,0.00,0.00,235.71,233.78,234.75,-19.22,0.00
02/22/2021,17:32,234.34,234.61,234.33,234.42,37562,38903,-13.40,0.00,0.00,235.62,233.78,234.70,1.38,0.00
02/22/2021,17:33,234.38,234.49,234.05,234.20,33672,42527,7.67,0.00,0.00,235.45,233.80,234.62,-29.97,0.00
02/22/2021,17:34,234.20,234.45,234.07,234.27,37325,37600,7.86,0.00,0.00,235.28,233.84,234.56,-25.93,0.00
02/22/2021,17:35,234.29,234.43,234.02,234.41,58648,48379,19.19,0.00,0.00,235.18,233.86,234.52,1.56,0.00
02/22/2021,17:36,234.41,234.52,234.28,234.33,36239,30706,11.95,0.00,0.00,235.12,233.86,234.49,-52.12,0.00
02/22/2021,17:37,234.32,234.33,234.00,234.19,39536,47783,7.00,0.00,0.00,235.05,233.85,234.45,-28.55,0.00
02/22/2021,17:38,234.22,234.28,234.05,234.25,43859,36370,0.43,0.00,0.00,234.92,233.89,234.40,-45.32,0.00
02/22/2021,17:39,234.24,234.31,234.07,234.18,39898,31168,-5.95,0.00,0.00,234.85,233.89,234.37,-31.65,0.00
02/22/2021,17:40,234.18,234.50,234.08,234.45,85187,56966,2.61,0.00,0.00,234.76,233.94,234.35,12.61,0.00
02/22/2021,17:41,234.44,234.44,234.29,234.33,28285,33058,-6.08,0.00,0.00,234.63,234.01,234.32,-65.08,0.00
02/22/2021,17:42,234.32,234.55,234.28,234.39,36033,34303,-5.66,0.00,0.00,234.60,234.02,234.31,-65.94,0.00
02/22/2021,17:43,234.38,234.80,234.30,234.76,71936,41723,-0.96,0.00,0.00,234.65,233.98,234.32,-7.40,0.00
02/22/2021,17:44,234.77,234.78,234.49,234.50,52735,55621,-5.61,0.00,0.00,234.66,233.98,234.32,72.51,0.00
02/22/2021,17:45,234.48,234.72,234.43,234.62,48184,66258,-10.63,0.00,0.00,234.69,233.97,234.33,47.72,0.00
02/22/2021,17:46,234.60,234.60,234.37,234.40,31539,24844,-9.78,0.00,0.00,234.69,233.97,234.33,-26.26,0.00
02/22/2021,17:47,234.39,234.42,234.22,234.38,27017,23388,-15.16,0.00,0.00,234.69,233.99,234.34,-33.85,0.00
02/22/2021,17:48,234.37,234.38,234.22,234.28,28321,22581,-17.20,0.00,0.00,234.65,234.07,234.36,-32.06,0.00
02/22/2021,17:49,234.26,234.69,234.23,234.63,47837,17607,-1.32,0.00,0.00,234.68,234.09,234.38,-38.85,0.00
02/22/2021,17:50,234.61,234.72,234.55,234.61,23724,26331,-15.16,0.00,0.00,234.71,234.08,234.40,-25.23,0.00
02/22/2021,17:51,234.62,234.75,234.61,234.70,33411,34978,-14.36,0.00,0.00,234.75,234.08,234.41,-21.68,0.00
02/22/2021,17:52,234.69,234.76,234.44,234.45,38712,44765,-8.73,0.00,0.00,234.75,234.08,234.42,4.05,0.00
02/22/2021,17:53,234.45,234.45,234.26,234.36,18509,20009,-23.62,0.00,0.00,234.75,234.10,234.42,-45.80,0.00
02/22/2021,17:54,234.34,234.34,234.10,234.15,24151,32858,-22.56,0.00,0.00,234.76,234.08,234.42,-59.90,0.00
02/22/2021,17:55,234.16,234.25,234.04,234.14,27832,28404,-23.41,0.00,0.00,234.77,234.04,234.40,-8.33,0.00
02/22/2021,17:56,234.14,234.19,234.01,234.19,28060,29179,-23.17,0.00,0.00,234.77,234.03,234.40,-18.62,0.00
02/22/2021,17:57,234.21,234.40,234.13,234.13,34076,29453,-15.63,0.00,0.00,234.77,234.02,234.40,-44.11,0.00
02/22/2021,17:58,234.11,234.41,234.10,234.33,23147,14918,-3.33,0.00,0.00,234.77,234.02,234.40,-64.87,0.00
02/22/2021,17:59,234.33,234.41,234.12,234.12,30336,33715,-12.85,0.00,0.00,234.78,234.01,234.40,-44.03,0.00
02/22/2021,18:00,234.12,234.23,233.99,234.21,24731,42571,-6.72,0.00,0.00,234.77,233.99,234.38,19.37,0.00
02/22/2021,18:01,234.19,234.29,234.16,234.21,16811,16300,-6.77,0.00,0.00,234.77,233.98,234.38,-34.31,0.00
02/22/2021,18:02,234.20,234.24,234.01,234.08,24274,24800,-11.52,0.00,0.00,234.78,233.95,234.36,-3.59,0.00
02/22/2021,18:03,234.11,234.27,234.05,234.26,22544,20134,-7.72,0.00,0.00,234.71,233.96,234.34,-34.79,0.00
02/22/2021,18:04,234.27,234.29,234.12,234.19,35513,28477,-11.51,0.00,0.00,234.70,233.95,234.32,27.84,0.00
02/22/2021,18:05,234.19,234.27,234.15,234.15,35667,28187,-16.50,0.00,0.00,234.65,233.94,234.30,-6.63,0.00
